Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.91,33.1,3.9,0.0,31.52,0.0,90.5,0.0,3.901791426234668e-11,1.7690922685056613e-11,9.194553814087737e-12,0.1023412978503131,0.1
1.36,46.7,2.7,0.0,37.5,0.0,67.25,0.0,5.196899371824856e-11,1.6754948075392854e-11,6.009262656928099e-12,0.05021820561622184,0.1
1.82,53.9,4.7,0.0,42.04,0.0,53.8,0.0,5.173156264277991e-11,1.5735244151514647e-11,9.021830961820615e-12,0.07573966845808101,0.1
2.27,58.8,2.5,2.86,46.16,0.0,41.88,0.0,4.936035219506957e-11,1.5326636055538836e-11,4.1973088601249635e-12,0.036929802882929574,0.1
2.72,65.6,2.6,7.4,48.37,0.0,31.96,0.0,5.127294104869162e-11,1.4590517968693915e-11,4.0643184977621405e-12,0.034425782102087035,0.1
3.17,70.8,2.7,8.38,49.78,0.0,24.71,0.0,5.1245614826584395e-11,1.3384813086087347e-11,3.90856384270559e-12,0.033124155399400564,0.1
3.63,82.1,4.9,8.42,50.48,0.0,18.99,0.0,6.01768075312457e-11,1.2007949691560723e-11,7.183102482414225e-12,0.05184026702377426,0.1
4.08,84.1,6.6,9.19,50.65,0.0,14.68,0.0,5.617994159270842e-11,1.085952851419138e-11,8.817779179830572e-12,0.06816512676721669,0.1
4.54,83.4,6.2,12.0,50.39,0.0,11.28,0.0,4.965073744069862e-11,1.0090502175383417e-11,7.382124031950395e-12,0.06457136181774967,0.1
4.99,81.5,2.7,12.98,49.84,0.0,8.72,0.0,4.313840929607149e-11,9.160515333046125e-12,2.858250431886945e-12,0.028775339905246132,0.1
5.45,80.8,4.0,13.57,49.05,0.0,6.7,0.0,3.882180055707755e-11,8.248206378172196e-12,3.8437426294136195e-12,0.04299945365378731,0.1
5.9,82.8,12.4,15.44,48.12,0.0,5.18,0.0,3.765807506319037e-11,7.668896620499299e-12,1.1279230212163299e-11,0.13007854047343773,0.1
6.36,88.2,11.7,20.16,47.07,0.0,3.98,0.0,3.9639622458540535e-11,7.715796378811741e-12,1.0516634529816877e-11,0.11522098499474029,0.1
6.81,88.5,8.5,24.2,45.98,0.0,3.08,0.0,3.7272530974732144e-11,7.817464909485546e-12,7.1596952154852705e-12,0.08342379878367548,0.1
7.26,88.4,8.9,27.05,44.86,0.0,2.38,0.0,3.488328403326885e-11,7.757837726732093e-12,7.024009680907076e-12,0.08744843640133351,0.1
7.71,88.2,10.8,28.23,43.73,0.0,1.84,0.0,3.2698832533893366e-11,7.368840024552779e-12,8.007877355239192e-12,0.10635783230283717,0.1
8.17,89.5,3.1,27.84,42.59,0.0,1.41,0.0,3.177411543134094e-11,6.672037266862294e-12,2.2011119069755733e-12,0.030085204332962693,0.1
8.62,89.7,9.5,26.95,41.5,0.0,1.09,0.0,3.025011814055421e-11,5.968099960920722e-12,6.407494366449609e-12,0.09199102738195968,0.1
9.07,93.7,7.3,26.46,40.45,0.0,0.84,0.0,3.137049341154652e-11,5.4247602840326376e-12,4.888038461137452e-12,0.06767021809805204,0.1
9.53,97.0,5.7,26.26,39.41,0.0,0.65,0.0,3.199631934862297e-11,4.985840830067381e-12,3.760392170869092e-12,0.051040794780382176,0.1
9.96,96.2,1.5,25.18,38.5,0.0,0.51,0.0,3.0112045674880937e-11,4.474479540517904e-12,9.390450834162454e-13,0.013543486961639869,0.1
10.45,94.8,2.1,24.1,37.5,0.0,0.38,0.0,2.7870825942627746e-11,3.98177029440703e-12,1.2347834278379382e-12,0.01924089476786559,0.1
10.93,92.5,13.9,23.02,36.62,0.0,0.29,0.0,2.536954967952785e-11,3.5593203193717783e-12,7.624578173955396e-12,0.1305230983449773,0.1
11.32,92.8,10.6,22.03,35.97,0.0,0.23,0.0,2.465465788025869e-11,3.2414702458629326e-12,5.63231408471427e-12,0.0992138256072084,0.1
11.8,93.5,12.1,21.74,35.19,0.0,0.0,0.0,2.400991758275981e-11,2.9985328232109204e-12,6.21433160965548e-12,0.1124056306102534,0.1
