Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.36,21.45,1.99,2.75,5.37,0.0,14.8,0.0,4.1419184812750536e-11,1.978761320379326e-12
0.73,31.3,1.58,6.05,10.22,0.0,11.43,0.0,4.349258989837445e-11,3.943393558294907e-12
1.09,41.7,1.16,9.4,11.44,0.0,3.66,0.0,5.1700538527699937e-11,4.572674167909968e-12
1.45,48.35,0.44,12.81,11.24,0.0,2.65,0.0,5.224857009430706e-11,5.079416422447781e-12
1.81,50.6,0.37,16.05,11.43,0.0,2.03,0.0,4.584288211515518e-11,5.781925360063578e-12
2.17,54.05,0.59,18.46,11.43,0.0,1.59,0.0,4.362958856976326e-11,6.064798096848645e-12
2.54,55.8,0.76,20.04,11.39,0.0,1.06,0.0,3.972685050548187e-11,5.951648423450828e-12
2.9,54.55,0.71,20.71,11.38,0.0,0.81,0.0,3.325377598304648e-11,5.5166590117189435e-12
3.26,50.0,2.65,20.29,11.12,0.0,0.56,0.0,2.485260191687447e-11,4.707195136816688e-12
3.62,49.9,2.77,19.63,11.17,0.0,0.44,0.0,2.2291637678989978e-11,4.008193587715816e-12
