Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.21,17.4,6.51,1.51,18.55,0.0,410.75,0.0,4.6722777991829526e-11,2.6903306127183017e-11
0.32,31.0,8.86,2.27,25.65,0.0,307.43,0.0,9.732465305162418e-11,3.38371943063354e-11
0.43,36.1,8.16,3.03,29.58,0.0,268.58,0.0,9.821897624347286e-11,3.3664092296401496e-11
0.54,46.0,8.52,3.84,33.96,0.0,241.26,0.0,1.2699053662141245e-10,3.549171847193065e-11
0.64,58.0,6.9,4.53,36.83,0.0,222.69,0.0,1.7034346142854514e-10,3.5382491550564884e-11
0.74,63.4,9.55,5.28,39.62,0.0,212.03,0.0,1.760338757128831e-10,3.5593855572742085e-11
0.85,71.9,8.52,6.04,43.11,0.0,206.1,0.0,1.9710076500202757e-10,3.681973835375595e-11
0.96,76.4,6.82,6.8,46.75,0.0,191.46,0.0,1.9704478212841083e-10,3.845121331067545e-11
1.07,78.1,6.65,7.62,50.04,0.0,179.91,0.0,1.8474289499846302e-10,3.967880531455953e-11
1.17,80.5,6.14,8.31,52.76,0.0,167.35,0.0,1.7949623926295798e-10,4.046445054145398e-11
1.28,82.8,5.8,9.07,55.72,0.0,159.14,0.0,1.7358018974439313e-10,4.13863744542985e-11
1.38,85.6,6.48,9.82,58.31,0.0,150.35,0.0,1.7207504737742367e-10,4.21879117506739e-11
1.48,88.0,7.5,10.57,61.08,0.0,139.46,0.0,1.695715866314431e-10,4.329304719252038e-11
1.59,92.0,8.52,11.19,63.47,0.0,125.67,0.0,1.725154459762584e-10,4.360655134229178e-11
1.7,92.4,8.52,11.92,65.59,0.0,111.41,0.0,1.6275879876854453e-10,4.3714499152657917e-11
1.8,95.1,9.2,12.54,66.83,0.0,99.69,0.0,1.6283133503441686e-10,4.303711776698566e-11
1.91,96.5,8.52,13.26,68.03,0.0,87.79,0.0,1.580049578164085e-10,4.224666393284902e-11
2.02,101.0,8.86,13.88,68.59,0.0,77.06,0.0,1.6365935414300175e-10,4.082978332067773e-11
2.13,99.9,9.55,14.61,69.0,0.0,68.97,0.0,1.5184511606384037e-10,3.9466789881828023e-11
2.23,103.0,8.18,15.23,69.17,0.0,63.99,0.0,1.5417680487529243e-10,3.813652208362801e-11
2.34,104.0,8.52,15.96,69.56,0.0,57.94,0.0,1.497960205137266e-10,3.703377543458602e-11
2.44,107.0,9.2,16.58,69.75,0.0,52.31,0.0,1.520642708637581e-10,3.5959735480271474e-11
2.54,107.0,9.55,17.3,69.69,0.0,47.47,0.0,1.460774885462873e-10,3.480186182263013e-11
2.65,106.0,11.2,17.92,69.65,0.0,43.16,0.0,1.3740904189432227e-10,3.3590220574000326e-11
2.76,107.0,11.2,18.55,69.52,0.0,39.28,0.0,1.3443363076361226e-10,3.241504590455869e-11
7.07,104.0,3.11,26.32,52.21,0.0,1.7,0.0,4.957888090553327e-11,9.422941431759123e-12
8.49,106.0,2.55,24.76,47.19,0.0,0.49,0.0,4.28897480588874e-11,6.59036955773813e-12
9.91,109.0,4.95,22.59,43.11,0.0,0.19,0.0,3.885337915642773e-11,4.7076133888029184e-12
11.27,110.0,2.83,20.52,40.05,0.0,0.0,0.0,3.479452476355033e-11,3.517041058968707e-12
