Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
1.74,96.4,12.1,5.73,129.95,70.64,1123.87,0.01,1.7308294431282004e-10,2.229309885400745e-10
3.5,157.0,10.5,16.49,217.21,49.8,658.27,0.0,2.2823419633781331e-10,2.370217096619874e-10
5.24,192.0,8.4,21.44,237.63,40.7,352.95,0.0,2.279925338646972e-10,1.8463304099345026e-10
6.98,201.0,6.9,24.35,246.25,35.27,198.18,0.0,1.8757983394511655e-10,1.4756797857159607e-10
8.72,201.0,7.3,30.5,251.02,31.55,108.77,0.0,1.501499129514809e-10,1.2313679837511248e-10
10.47,194.0,6.4,41.92,230.73,28.8,29.25,0.0,1.1649471762841524e-10,8.962770040259219e-11
12.19,190.0,6.0,51.62,208.57,26.69,13.48,0.0,9.597385756158454e-11,6.623524418035318e-11
13.94,186.0,6.4,50.11,192.8,24.96,7.5,0.0,8.042898157494339e-11,5.0060120594982766e-11
15.68,184.0,6.4,48.39,179.28,23.53,4.2,0.0,6.997437732200278e-11,3.885589772924338e-11
17.42,182.0,7.3,52.05,169.24,22.32,2.43,0.0,6.162317634939685e-11,3.233155269243011e-11
19.16,181.0,6.6,50.54,160.07,21.29,0.66,0.0,5.5412928141124046e-11,2.652631791908351e-11
20.9,183.0,6.5,48.06,151.49,20.38,0.54,0.0,5.192844863228942e-11,2.1825043215694268e-11
22.65,185.0,6.5,52.27,145.0,19.58,0.28,0.0,4.896939125779062e-11,1.9334526988609305e-11
24.39,186.0,9.1,50.33,138.91,18.87,0.07,0.0,4.596883981774132e-11,1.6516622722198943e-11
26.13,186.0,11.4,47.42,133.62,18.23,0.04,0.0,4.290776896879873e-11,1.4149346102268055e-11
27.87,184.0,13.6,44.83,128.95,17.65,0.02,0.0,3.936843331212786e-11,1.2258269060162999e-11
29.61,185.0,13.6,43.0,124.77,17.12,0.0,0.0,3.745885552141025e-11,1.076751111349035e-11
