Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.23,6.81,8.19,-0.86,9.67,0.0,142.64,0.0,6.534552366484084e-12,6.483650996114596e-12
0.69,20.0,4.09,-1.93,23.77,0.0,114.33,0.0,1.8787126318611198e-11,1.3093760487870559e-11
1.15,33.0,4.0,-3.62,34.7,0.0,92.98,0.0,3.068877084145139e-11,1.6596752169538003e-11
1.59,42.7,4.0,-4.31,41.73,0.0,70.0,0.0,3.716277026158461e-11,1.7368138256816563e-11
2.05,49.9,4.0,-3.92,46.7,0.0,54.62,0.0,3.9363769950216457e-11,1.6995572985169052e-11
2.51,55.5,4.0,3.21,50.33,0.0,43.18,0.0,3.977055939402637e-11,1.6486122490234684e-11
2.97,61.9,4.0,7.43,53.12,0.0,33.14,0.0,4.180943547207167e-11,1.5997360603598644e-11
3.42,67.9,4.0,10.05,55.1,0.0,25.5,0.0,4.3688073819375645e-11,1.5341654901434542e-11
3.88,73.1,4.0,11.97,55.08,0.0,16.1,0.0,4.463263046810686e-11,1.3866727445364943e-11
4.34,76.1,3.0,13.61,54.16,0.0,13.06,0.0,4.324431666316071e-11,1.2335010076770408e-11
4.79,77.8,5.34,14.82,53.32,0.0,9.76,0.0,4.095181318881857e-11,1.1103516055806064e-11
5.24,79.0,4.0,15.7,52.48,0.0,7.4,0.0,3.859867089435697e-11,1.0041252816909284e-11
5.7,78.5,5.6,16.36,50.92,0.0,5.05,0.0,3.503595119220819e-11,8.892657435491973e-12
6.16,79.8,7.15,16.58,49.36,0.0,4.2,0.0,3.350229245071367e-11,7.855213387621861e-12
7.16,83.4,5.12,17.02,46.44,0.0,2.37,0.0,3.1482450835303316e-11,6.191957835292815e-12
7.52,84.6,4.0,17.46,45.44,0.0,2.01,0.0,3.08441168921984e-11,5.7629347343786205e-12
7.98,86.1,5.53,18.01,44.24,0.0,1.61,0.0,3.010598676707715e-11,5.291440865910682e-12
8.44,87.5,10.2,18.77,43.11,0.0,1.27,0.0,2.939836070943075e-11,4.920873573732862e-12
8.9,89.0,7.77,19.76,41.91,0.0,0.96,0.0,2.8842935680647834e-11,4.619682266149245e-12
9.35,90.4,5.16,20.86,40.72,0.0,0.84,0.0,2.8325312173521964e-11,4.381806726666127e-12
9.62,91.2,13.7,21.63,40.12,0.0,0.83,0.0,2.8019737315476602e-11,4.28734247230367e-12
