Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
1.74,54.7,8.3,0.0,52.62,0.0,88.43,0.0,5.5728179917802914e-11,2.578528277077217e-11
3.5,85.4,7.0,5.24,59.95,0.0,40.84,0.0,6.753006253247947e-11,1.689333844704293e-11
5.24,93.8,6.2,17.89,62.66,0.0,24.98,0.0,5.4415652931220335e-11,1.4120829280471045e-11
6.98,98.7,5.2,25.97,65.09,0.0,17.98,0.0,4.5230182236697173e-11,1.296680807316057e-11
8.72,103.0,5.2,29.85,66.99,0.0,10.91,0.0,3.9428242531181436e-11,1.165064818935739e-11
10.47,107.0,5.2,34.48,67.16,0.0,6.05,0.0,3.543809177722729e-11,1.0660533259834237e-11
12.19,109.0,5.2,40.3,63.93,0.0,2.66,0.0,3.158629921576692e-11,9.750551658376566e-12
13.94,108.0,7.4,42.57,59.68,0.0,0.84,0.0,2.71165348910319e-11,8.353157673275463e-12
15.68,108.0,7.4,40.84,54.03,0.0,0.0,0.0,2.4107429616134226e-11,6.464044420696271e-12
16.61,108.0,7.4,39.98,51.7,0.0,0.0,0.0,2.2757645778506e-11,5.726180729413388e-12
