Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
3.5,102.0,7.0,0.0,138.23,0.0,367.95,0.0,9.633447923642378e-11,8.846185272079653e-11,1.3222379503038558e-11,0.059609046535740444
5.24,125.0,6.1,0.0,163.99,0.0,200.43,0.0,9.663583283517507e-11,8.316161293013609e-11,9.431657284713087e-12,0.04238714143375738
6.98,145.0,4.9,8.76,177.95,0.0,156.27,0.0,9.761802947194564e-11,7.3868590618464e-11,6.597632336724602e-12,0.029352316707943915
8.72,164.0,3.9,23.82,182.72,0.0,66.34,0.0,9.995871534721989e-11,6.414918792164448e-11,4.7541340226116775e-12,0.02065546926125222
10.47,162.0,4.8,31.14,173.68,0.0,42.03,0.0,8.123305796152965e-11,4.968597765961659e-11,4.81381084216472e-12,0.025735969297970476
12.19,160.0,4.8,37.29,166.41,0.0,26.8,0.0,6.805902364478017e-11,4.050758277613249e-11,4.083541418686811e-12,0.026057668914195108
13.94,156.0,4.8,46.45,159.41,0.0,15.65,0.0,5.657647403190606e-11,3.455446406178158e-11,3.4816291711942195e-12,0.026725814270969345
16.03,146.0,4.85,53.13,148.01,0.0,6.69,0.0,4.309447994060919e-11,2.7851449177990797e-11,2.863126407013077e-12,0.028853811468914678
22.3,158.0,4.9,48.17,124.21,0.0,1.41,0.0,3.627928887648977e-11,1.4582650759512186e-11,2.2502343733518975e-12,0.026937252675011823
27.52,168.0,10.6,42.67,109.5,0.0,0.29,0.0,3.323682946215233e-11,9.204017969649878e-12,4.194171336890651e-12,0.05480382747826749
30.08,169.0,10.6,40.52,103.96,0.0,0.14,0.0,3.0771242453643575e-11,7.59095576462841e-12,3.860061183533987e-12,0.05447954447543749
32.52,167.0,15.2,39.01,99.53,0.0,0.0,0.0,2.7792771715161884e-11,6.452549569249847e-12,5.059282994855816e-12,0.07905719910095121
