Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.09,16.5,4.57,1.23,16.63,0.0,657.92,0.0,9.803357352130305e-11,5.033699022173446e-11
0.27,38.5,6.88,3.67,32.22,0.0,309.01,0.0,1.779127815756981e-10,6.391934228512691e-11
0.45,47.4,4.57,5.99,40.27,0.0,181.32,0.0,1.618056283891444e-10,6.097825466014991e-11
0.63,55.5,4.57,8.14,43.48,0.0,105.94,0.0,1.5845095885556537e-10,5.203327325918201e-11
0.81,56.4,5.45,10.08,44.07,0.0,62.77,0.0,1.2726900358262385e-10,4.291787419322804e-11
0.99,59.8,4.57,11.72,43.71,0.0,45.1,0.0,1.1706218557646565e-10,3.576774284578834e-11
1.17,67.8,4.57,13.25,44.14,0.0,29.74,0.0,1.2732772539539922e-10,3.1846398519987815e-11
1.35,76.4,4.57,15.37,42.83,0.0,15.24,0.0,1.40120733957981e-10,2.7689250661214814e-11
1.53,81.2,4.57,18.44,40.98,0.0,9.18,0.0,1.3965937125226604e-10,2.4988183340657007e-11
1.71,82.2,19.2,21.32,38.82,0.0,5.33,0.0,1.2805512945951017e-10,2.2894657756449085e-11
1.89,82.6,4.57,22.09,36.95,0.0,3.32,0.0,1.1698973179031975e-10,2.0072587015380647e-11
2.07,82.3,4.57,20.36,35.17,0.0,2.34,0.0,1.0604221235215502e-10,1.6172491419769808e-11
2.25,82.1,4.57,17.96,33.75,0.0,1.51,0.0,9.708524948374306e-11,1.2849226813341233e-11
2.67,81.4,4.57,18.44,30.81,0.0,0.67,0.0,8.042424698167124e-11,9.888159564213459e-12
3.15,79.3,4.57,20.36,27.99,0.0,0.13,0.0,6.469716875277229e-11,8.294848153199512e-12
3.61,78.5,4.57,20.55,25.88,0.0,0.04,0.0,5.531992293506556e-11,6.797464538313993e-12
4.04,78.2,4.57,20.74,24.31,0.0,0.01,0.0,4.905480976519214e-11,5.820853927170732e-12
4.49,78.1,4.57,21.71,22.96,0.0,0.0,0.0,4.402558967669386e-11,5.304375456593411e-12
4.93,78.2,4.57,23.34,21.83,0.0,0.0,0.0,4.019907331670919e-11,5.14731758510483e-12
5.38,78.3,4.57,24.59,20.85,0.0,0.0,0.0,3.69309690353634e-11,4.951702032006756e-12
5.86,78.6,4.57,24.78,19.94,0.0,0.0,0.0,3.416621983311253e-11,4.495338044368933e-12
6.28,78.9,4.57,24.59,19.24,0.0,0.0,0.0,3.212505038798499e-11,4.075521983476673e-12
6.74,79.5,4.57,24.59,18.55,0.0,0.0,0.0,3.038951826019646e-11,3.7346824682366876e-12
