Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.1,6.29,4.62,-1.13,1.96,0.0,28.5,0.0,1.2821851590592349e-11,2.0867377848055217e-13,1.8835279602078426e-11,0.6379779034636004,0.1
0.3,13.9,4.62,-2.45,6.31,0.0,27.26,0.0,2.08716988871085e-11,1.502160615183642e-12,1.38744242961786e-11,0.28869647574000334,0.1
0.49,15.6,4.62,-0.64,9.67,0.0,24.99,0.0,1.6095429551117765e-11,3.0651720423739323e-12,9.5334467341236e-12,0.25723596235807994,0.1
0.69,18.4,4.62,2.49,13.92,0.0,20.86,0.0,1.5901423716072516e-11,4.841597446098235e-12,7.985280170462504e-12,0.21809135939054605,0.1
0.89,22.5,4.62,1.87,15.16,0.0,13.91,0.0,1.8434208039803014e-11,4.311682061690199e-12,7.570314768345771e-12,0.1783502672349354,0.1
1.09,26.5,4.62,4.97,16.41,0.0,11.73,0.0,2.0879240884171674e-11,4.737631320364956e-12,7.28015795357533e-12,0.1514294721806055,0.1
1.29,35.3,4.62,9.29,17.34,0.0,10.3,0.0,3.13046718250139e-11,5.9449935554797465e-12,8.194197384224604e-12,0.11367934880413733,0.1
1.48,40.5,4.62,13.62,18.34,0.0,7.96,0.0,3.591681236728106e-11,7.744634790457047e-12,8.194354228979679e-12,0.09908348179718635,0.1
1.68,44.2,4.89,16.26,19.12,0.0,6.72,0.0,3.7686405071656524e-11,8.626159707334513e-12,8.338756597303186e-12,0.096095023371353,0.1
1.88,46.3,4.62,18.16,19.54,0.0,3.97,0.0,3.695333061752807e-11,8.975776093513312e-12,7.374703561683786e-12,0.08667129617248479,0.1
2.08,46.4,4.62,19.64,19.1,0.0,2.84,0.0,3.3544558558236584e-11,8.851917526874777e-12,6.679993988752284e-12,0.08648450458590616,0.1
2.27,46.3,4.62,20.17,18.77,0.0,2.16,0.0,3.0604520511432933e-11,8.323025764891337e-12,6.107684007033268e-12,0.08667129617248481,0.1
2.37,46.4,6.73,20.59,18.61,0.0,1.86,0.0,2.943995012705996e-11,8.165042915874794e-12,8.540123463582479e-12,0.12598283893141743,0.1
2.98,46.9,8.65,22.17,17.21,0.0,0.0,0.0,2.392097494627471e-11,6.955723196640999e-12,8.823728498306023e-12,0.16019817775962167,0.1
