Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.67,43.8,10.9,-1.86,59.04,0.0,523.98,0.0,9.279463613480132e-11,8.413455799839285e-11
1.32,64.2,7.71,-3.8,76.34,0.0,311.22,0.0,1.0119186024751902e-10,7.118562719965328e-11
1.97,73.3,8.62,-4.48,88.63,0.0,232.08,0.0,8.83875666966269e-11,6.428205893680744e-11
2.62,84.2,8.4,7.23,96.45,0.0,182.74,0.0,8.769449803540104e-11,5.818032707676808e-11
3.28,96.2,5.67,12.91,105.73,0.0,154.57,0.0,9.143779723226041e-11,5.687255975884516e-11
3.93,102.0,4.79,15.03,114.11,0.0,115.04,0.0,8.57940654777311e-11,5.555047776966186e-11
4.58,104.0,5.67,16.47,116.44,0.0,74.83,0.0,7.65333379917293e-11,4.988817216625471e-11
5.22,106.0,5.37,19.07,115.33,0.0,58.17,0.0,6.975746379692606e-11,4.3546694953554054e-11
5.9,106.0,5.24,21.96,114.16,0.0,42.87,0.0,6.17176205118566e-11,3.844165374987127e-11
6.54,108.0,5.22,24.08,111.48,0.0,31.37,0.0,5.7798852657642915e-11,3.36651637287808e-11
7.19,111.0,4.68,26.59,108.69,0.0,28.23,0.0,5.5534967498751697e-11,2.981059969839657e-11
7.87,114.0,4.61,28.42,108.61,0.0,23.82,0.0,5.351609612747873e-11,2.7613590942000406e-11
8.51,116.0,4.47,29.67,108.62,0.0,17.55,0.0,5.124315643443897e-11,2.581755244415084e-11
9.16,117.0,5.22,30.73,106.75,0.0,10.87,0.0,4.84312529478912e-11,2.34995916799925e-11
9.84,118.0,5.22,33.62,102.47,0.0,5.62,0.0,4.5858344342895365e-11,2.101353847609613e-11
10.48,120.0,4.5,36.6,98.04,0.0,4.16,0.0,4.452979177044867e-11,1.9003956968978496e-11
11.13,121.0,3.62,38.63,94.48,0.0,2.94,0.0,4.263095200746691e-11,1.734097059729448e-11
11.78,122.0,3.17,39.4,91.23,0.0,2.24,0.0,4.0947163796070507e-11,1.5719200354664882e-11
12.43,122.0,2.74,39.69,88.36,0.0,1.71,0.0,3.880592031518186e-11,1.4285086305362961e-11
13.08,122.0,3.18,40.46,85.84,0.0,1.3,0.0,3.6877491553341785e-11,1.3184283993825473e-11
13.73,123.0,3.56,42.0,83.43,0.0,0.82,0.0,3.570994164443653e-11,1.2378413659623416e-11
14.38,124.0,4.31,43.44,80.87,0.0,0.52,0.0,3.4652449487087336e-11,1.1622209909399435e-11
15.03,124.0,4.76,44.21,78.55,0.0,0.5,0.0,3.315384056050006e-11,1.0866368213223614e-11
15.68,123.0,5.23,45.27,76.81,0.0,0.52,0.0,3.126897313635929e-11,1.0332590147874943e-11
16.33,123.0,5.66,46.72,75.17,0.0,0.37,0.0,3.0024341627563605e-11,9.938699777053652e-12
16.98,123.0,5.62,48.07,73.49,0.0,0.21,0.0,2.887499992803967e-11,9.564144611054828e-12
17.72,121.0,5.67,49.41,71.61,0.0,0.14,0.0,2.677666455096539e-11,9.154184909957446e-12
18.28,122.0,6.32,50.57,70.3,0.0,0.12,0.0,2.6387176669459e-11,8.914571681717944e-12
19.02,122.0,6.35,51.53,68.7,0.0,0.08,0.0,2.5360546241730314e-11,8.545273711893567e-12
19.67,121.0,5.86,52.02,67.38,0.0,0.06,0.0,2.4122140103869174e-11,8.198516857443393e-12
20.32,120.0,5.94,52.11,66.16,0.0,0.04,0.0,2.2966152448538485e-11,7.821290518390881e-12
20.97,119.0,6.13,51.82,65.01,0.0,0.0,0.0,2.188491918222683e-11,7.415716610211156e-12
