Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.41,15.0,4.1,10.41,8.28,0.0,20.43,0.0,1.778476439612432e-11,1.1275327209970064e-11
0.82,23.4,1.3,18.08,12.66,0.0,14.59,0.0,2.1640501317204068e-11,1.6086287778935515e-11
1.24,29.2,1.5,20.09,15.11,0.0,8.79,0.0,2.2284016562837597e-11,1.3531930116161017e-11
1.64,36.2,1.1,20.2,15.99,0.0,5.9,0.0,2.589540739473017e-11,1.0589444926481465e-11
2.06,44.0,1.1,22.0,16.89,0.0,4.09,0.0,3.0457032550307736e-11,9.858199675643735e-12
2.47,52.1,1.2,22.63,17.03,0.0,2.87,0.0,3.56145899289939e-11,8.621881403832306e-12
2.89,52.9,1.7,22.95,16.99,0.0,2.09,0.0,3.138072378137775e-11,7.524804120862758e-12
3.3,54.8,2.2,22.74,17.19,0.0,1.56,0.0,2.949148436037204e-11,6.52924370100964e-12
3.71,55.0,2.5,22.74,17.16,0.0,0.82,0.0,2.642414380628114e-11,5.80318223666854e-12
4.12,52.0,2.7,22.74,16.37,0.0,0.0,0.0,2.1269580582652925e-11,5.1215014432403915e-12
