Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.32,44.0,8.0,0.01,197.82,0.0,7393.57,0.0,1.9606714704260607e-10,1.981572096644144e-09
0.64,64.0,8.0,0.03,204.19,0.0,3002.08,0.0,2.0740987455746757e-10,1.0556220231803602e-09
0.96,128.0,8.0,0.08,209.11,0.0,2411.81,0.0,5.530929988199137e-10,7.380706869370745e-10
1.28,148.0,8.0,0.07,219.11,0.0,1895.47,0.0,5.545783559944787e-10,6.077626064259726e-10
1.6,157.0,8.0,1.76,225.96,0.0,1625.63,0.0,4.992623044889666e-10,5.171485380798766e-10
1.92,189.0,8.0,5.17,232.02,0.0,1474.21,0.0,6.029368594618571e-10,4.5477871135958243e-10
2.24,195.0,6.0,8.23,251.26,0.0,1493.06,0.0,5.501367522354704e-10,4.5766642052576035e-10
2.56,201.0,6.0,11.05,278.7,0.0,1371.3,0.0,5.114481409909819e-10,4.931927742838113e-10
2.88,214.0,4.0,13.64,291.79,0.0,1009.96,0.0,5.153289179271803e-10,4.811291501850747e-10
3.2,215.0,4.0,16.01,300.53,0.0,706.79,0.0,4.681406958700654e-10,4.599421374826717e-10
3.52,215.0,4.0,18.18,298.29,0.0,476.79,0.0,4.2558245079096856e-10,4.1263751191711857e-10
3.84,216.0,3.0,20.14,289.57,0.0,365.53,0.0,3.937546837301924e-10,3.5725382076746214e-10
4.8,214.0,2.0,24.78,274.65,0.0,195.17,0.0,3.0919735075630815e-10,2.5879215777178114e-10
5.76,210.0,2.0,25.77,255.87,0.0,83.13,0.0,2.4812216438759554e-10,1.8791355649334774e-10
6.72,205.0,2.0,24.89,236.77,0.0,50.66,0.0,2.0266927032825465e-10,1.3816487915471744e-10
7.68,203.0,1.0,25.19,221.37,0.0,32.24,0.0,1.7389228354163987e-10,1.0607169590621541e-10
8.64,201.0,1.0,25.4,209.59,0.0,23.57,0.0,1.515401899232539e-10,8.4804682640014e-11
9.6,201.0,1.0,27.64,199.24,0.0,14.07,0.0,1.3638617093092853e-10,6.958310431461766e-11
10.56,199.0,1.0,32.7,189.8,0.0,10.06,0.0,1.2153229229329831e-10,5.855900972851786e-11
11.52,197.0,1.0,37.22,181.59,0.0,6.57,0.0,1.09176565507009e-10,5.0279319119549617e-11
12.48,196.0,2.0,37.86,174.1,0.0,4.46,0.0,9.975783429737173e-11,4.307739549462702e-11
13.44,193.0,3.0,36.33,167.37,0.0,2.89,0.0,8.981829447301792e-11,3.69560418073699e-11
14.4,190.0,3.0,35.33,161.19,0.0,1.89,0.0,8.124453636636914e-11,3.204616907968231e-11
15.36,188.0,5.0,35.01,155.25,0.0,1.25,0.0,7.457168178669368e-11,2.8012868614759694e-11
16.32,187.0,5.0,34.43,150.2,0.0,0.83,0.0,6.944044791092298e-11,2.4753526759842445e-11
17.28,188.0,3.0,33.18,145.58,0.0,0.55,0.0,6.628593936594992e-11,2.193842652144208e-11
18.24,186.0,3.0,32.48,141.36,0.0,0.37,0.0,6.14682019273416e-11,1.9626392488686143e-11
19.2,185.0,3.0,31.94,137.48,0.0,0.24,0.0,5.7768578749424877e-11,1.767328400925372e-11
20.16,185.0,3.0,31.23,133.91,0.0,0.16,0.0,5.501769404707131e-11,1.5980862916535318e-11
21.12,181.0,3.0,30.85,130.6,0.0,0.11,0.0,5.027044049166367e-11,1.454653015759664e-11
22.08,178.0,3.0,30.69,127.55,0.0,0.07,0.0,4.650400861553728e-11,1.3321800608580588e-11
23.04,177.0,3.0,30.33,124.7,0.0,0.05,0.0,4.406700276700102e-11,1.2230219846475991e-11
24.0,182.0,4.0,30.72,122.05,0.0,0.03,0.0,4.472815550027055e-11,1.1331681386167912e-11
24.96,180.0,8.0,30.86,119.57,0.0,0.0,0.0,4.206780809083252e-11,1.0518032347390905e-11
