Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
1.74,59.2,3.5,0.0,56.25,0.0,84.05,0.0,6.527450994693635e-11,2.9465598339483985e-11
2.61,71.2,4.0,0.0,59.09,0.0,59.41,0.0,6.294611556972034e-11,2.167738703970094e-11
3.5,84.5,4.4,6.4,61.72,0.0,38.85,0.0,6.611421235754276e-11,1.8015392071700518e-11
4.37,93.5,4.5,14.66,63.73,0.0,29.86,0.0,6.483227173376792e-11,1.6653838607970216e-11
5.24,97.5,3.5,17.89,64.38,0.0,19.57,0.0,5.879324069692051e-11,1.479653423630511e-11
6.11,100.0,3.5,20.91,64.3,0.0,16.34,0.0,5.30405775770938e-11,1.3283869975029457e-11
6.98,101.0,4.0,24.79,64.23,0.0,10.95,0.0,4.736273572619821e-11,1.243052688774609e-11
7.85,103.0,3.5,27.59,62.94,0.0,8.29,0.0,4.379799679896842e-11,1.1319732018399075e-11
8.72,105.0,4.0,29.1,61.95,0.0,6.21,0.0,4.09743023759332e-11,1.0278738235103872e-11
9.6,110.0,4.9,32.76,60.68,0.0,4.78,0.0,4.0847322300542936e-11,9.83795537170004e-12
10.47,111.0,6.0,36.86,60.19,0.0,3.35,0.0,3.813719353543693e-11,9.812341925201939e-12
