Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.45,18.9,9.78,0.0,65.19,0.0,2096.34,0.0,2.57253060037059e-11,1.530272971186357e-10
1.34,58.3,10.5,0.0,120.17,0.0,997.68,0.0,8.220188299144484e-11,1.7462514637679876e-10
2.23,74.1,5.69,0.0,137.48,0.0,691.26,0.0,7.979597907223154e-11,1.3733892480051866e-10
3.12,119.0,4.27,0.0,146.18,0.0,574.33,0.0,1.4709190873438994e-10,1.1097899311782991e-10
4.01,141.0,3.76,0.0,157.86,0.0,548.02,0.0,1.6067314978479634e-10,1.0069763795269134e-10
4.9,195.0,4.54,0.0,175.79,0.0,524.14,0.0,2.514910867362151e-10,1.0219077938680318e-10
5.79,227.0,4.2,0.0,199.19,0.0,483.52,0.0,2.8841816240478593e-10,1.1103910654901744e-10
6.69,246.0,4.24,0.0,217.87,0.0,426.75,0.0,2.931524656371382e-10,1.1497097337451012e-10
7.58,268.0,5.56,0.0,228.65,0.0,376.92,0.0,3.07078801744219e-10,1.1176161399742568e-10
8.47,283.0,2.96,0.0,241.76,0.0,345.98,0.0,3.0643538672212623e-10,1.1181625506718297e-10
10.23,291.0,9.81,0.0,260.94,0.0,282.74,0.0,2.6826239594637267e-10,1.078512397218174e-10
12.06,310.0,4.74,0.04,275.04,0.0,199.54,0.0,2.5824120212702934e-10,1.0163982027503208e-10
13.44,310.0,20.4,0.4,277.98,0.0,164.72,0.0,2.3172536440862903e-10,9.316420666863175e-11
15.18,310.0,16.1,3.11,282.25,0.0,131.46,0.0,2.0516395900210635e-10,8.50591485395732e-11
16.83,314.0,13.5,15.18,283.33,0.0,96.52,0.0,1.8985613480269677e-10,7.773321429875108e-11
18.56,317.0,12.7,22.91,276.47,0.0,70.44,0.0,1.754648006836389e-10,6.76489952036746e-11
20.3,319.0,10.4,33.06,272.19,0.0,62.6,0.0,1.6245563612101646e-10,6.088300653376758e-11
21.94,318.0,10.8,33.62,273.0,0.0,50.58,0.0,1.4937126933361833e-10,5.6713348651596e-11
23.68,317.0,9.3,39.67,271.34,0.0,32.65,0.0,1.3752646540068992e-10,5.2534574260708746e-11
25.41,317.0,7.23,44.98,261.62,0.0,19.67,0.0,1.2816319168391726e-10,4.6227609108200653e-11
27.06,312.0,8.39,46.29,252.97,0.0,13.79,0.0,1.1658182527786704e-10,4.0886603934822315e-11
28.8,312.0,8.37,43.21,243.84,0.0,7.98,0.0,1.0953834000066256e-10,3.555413599358235e-11
30.53,311.0,11.5,45.08,233.85,0.0,4.31,0.0,1.0266996845865144e-10,3.1181877798975143e-11
32.18,310.0,14.5,52.43,224.75,0.0,2.73,0.0,9.678026406625153e-11,2.8203426751524765e-11
33.91,313.0,15.9,59.7,216.21,0.0,1.63,0.0,9.362899034448053e-11,2.574414672472072e-11
35.65,320.0,8.83,61.56,208.83,0.0,1.34,0.0,9.308718072705419e-11,2.3266902695901106e-11
37.3,321.0,7.88,63.33,202.65,0.0,0.94,0.0,8.952631067474874e-11,2.132502293157204e-11
39.03,320.0,8.0,62.96,196.77,0.0,0.72,0.0,8.502582610605898e-11,1.936594219843703e-11
40.76,315.0,9.82,62.4,191.39,0.0,0.59,0.0,7.88926214539558e-11,1.76579743663331e-11
42.41,312.0,9.07,62.21,186.89,0.0,0.59,0.0,7.438585692098755e-11,1.630248777970255e-11
